iter	RMSE
0	3.758818195
1	3.742160992
2	3.722040151
3	3.702096519
4	3.683452742
5	3.668617487
6	3.652360008
7	3.637603856
8	3.621483814
9	3.605435208
10	3.589457722
11	3.575022459
12	3.556098905
13	3.538506308
14	3.519906871
15	3.504308403
16	3.48877906
17	3.473875539
18	3.455165292
19	3.441428341
20	3.425396813
21	3.410217166
22	3.395712508
23	3.380664408
24	3.365682993
25	3.350157395
26	3.337126331
27	3.319932434
28	3.305220154
29	3.287466712
30	3.27368513
31	3.256950045
32	3.241403733
33	3.227039452
34	3.211456971
35	3.195174933
36	3.179902614
37	3.164718514
38	3.14965627
39	3.136734826
40	3.122855489
41	3.110073731
42	3.097412123
43	3.082058737
44	3.065636066
45	3.052311669
46	3.038042778
47	3.025868307
48	3.013790963
49	2.997774397
50	2.984489759
51	2.970006131
52	2.957370416
53	2.945714823
54	2.932660888
55	2.919265021
56	2.906328298
57	2.89093669
58	2.878125504
59	2.862895054
60	2.850208134
61	2.838062495
62	2.82519693
63	2.811794253
64	2.799333787
65	2.789156273
66	2.774438321
67	2.762143397
68	2.747579302
69	2.736302019
70	2.724619497
71	2.712545346
72	2.700443837
73	2.687816094
74	2.673680242
75	2.661831828
76	2.65003592
77	2.638292285
78	2.625856817
79	2.614270644
80	2.600553192
81	2.587998541
82	2.576529825
83	2.564644536
84	2.554091048
85	2.542772593
86	2.533137435
87	2.524399067
88	2.513212192
89	2.501763615
90	2.490677049
91	2.479388922
92	2.466443974
93	2.453576761
94	2.442703735
95	2.431878893
96	2.421102022
97	2.410372908
98	2.399530155
99	2.388896637
100	2.379091558
101	2.368972472
102	2.35847437
103	2.348022791
104	2.337617527
105	2.325456917
106	2.315151655
107	2.303117463
108	2.292911198
109	2.283494236
110	2.271633602
111	2.261566857
112	2.252293662
113	2.242295374
114	2.232358642
115	2.221971139
116	2.212124474
117	2.202321444
118	2.190908378
119	2.181199368
120	2.169904819
121	2.161521759
122	2.151942975
123	2.143219171
124	2.133721495
125	2.122690732
126	2.11384063
127	2.104473145
128	2.095147172
129	2.085425075
130	2.076183514
131	2.066982907
132	2.057823072
133	2.04721009
134	2.038137878
135	2.02910587
136	2.020113887
137	2.009703801
138	1.99935574
139	1.989864578
140	1.981046493
141	1.972267485
142	1.962129773
143	1.953434595
144	1.943401849
145	1.934789664
146	1.926215643
147	1.918323043
148	1.910523438
149	1.902815953
150	1.894383624
151	1.885988663
152	1.877630904
153	1.870115474
154	1.861828057
155	1.853577366
156	1.844107231
157	1.835935069
158	1.828670548
159	1.819336473
160	1.810057642
161	1.802036371
162	1.794050647
163	1.786100311
164	1.778185207
165	1.770305179
166	1.762460072
167	1.753478685
168	1.744550405
169	1.73681943
170	1.729122714
171	1.721638086
172	1.714008647
173	1.705287157
174	1.697730176
175	1.690206685
176	1.682716534
177	1.675259575
178	1.667835662
179	1.660444648
