iter	Passed	Remaining
0	56	56395
1	56	28192
2	56	18786
3	56	14081
4	56	11257
5	56	9376
6	56	8034
7	56	7026
8	56	6244
9	56	5618
10	56	5105
11	56	4676
12	56	4314
13	56	4003
14	56	3734
15	56	3499
16	56	3292
17	56	3108
18	57	2944
19	57	2796
20	57	2661
21	57	2540
22	57	2429
23	57	2326
24	57	2233
25	57	2145
26	57	2065
27	57	1990
28	57	1920
29	57	1855
30	57	1794
31	57	1737
32	57	1684
33	57	1633
34	57	1585
35	57	1540
36	57	1498
37	57	1457
38	57	1419
39	57	1383
40	57	1348
41	57	1315
42	57	1284
43	57	1254
44	57	1225
45	57	1198
46	57	1171
47	57	1146
48	57	1122
49	57	1099
50	57	1078
51	57	1056
52	57	1035
53	58	1016
54	58	997
55	58	978
56	58	961
57	58	944
58	58	927
59	58	911
60	58	896
61	58	881
62	58	867
63	58	852
64	58	839
65	58	826
66	58	813
67	58	801
68	58	788
69	58	777
70	58	765
71	58	755
72	58	744
73	58	733
74	58	723
75	58	713
76	58	704
77	58	694
78	58	685
79	58	676
80	58	667
81	58	659
82	58	651
83	58	642
84	58	634
85	59	627
86	59	619
87	59	612
88	59	604
89	59	597
90	59	590
91	59	584
92	59	577
93	59	570
94	59	564
95	59	558
96	59	552
97	59	546
98	59	540
99	59	534
100	59	529
101	59	523
102	59	518
103	59	513
104	59	507
105	59	502
106	59	497
107	59	492
108	59	488
109	59	483
110	59	478
111	59	474
112	59	469
113	59	465
114	59	461
115	59	456
116	59	452
117	60	448
118	60	444
119	60	440
120	60	436
121	60	432
122	60	429
123	60	425
124	60	421
125	60	418
126	60	414
127	60	411
128	60	407
129	60	404
130	60	401
131	60	397
132	60	394
133	60	391
134	60	388
135	60	385
136	60	382
137	60	379
138	60	376
139	60	373
140	60	370
141	60	367
142	60	364
143	60	361
144	60	359
145	60	356
146	60	353
147	61	351
148	61	348
149	61	345
150	61	343
151	61	340
152	61	338
153	61	336
154	61	333
155	61	331
156	61	329
157	61	326
158	61	324
159	61	322
160	61	319
161	61	317
162	61	315
163	61	313
164	61	311
165	61	309
166	61	307
167	61	305
168	61	303
169	61	301
170	61	299
